rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[ 3019347.17256819 -6308567.39276378  2450715.87455566],[ 6622.54935548  2493.51135941 -1790.97283079],[ 3019215.1942378  -6308453.59206368  2450766.2133381 ],[ 6621.74315532  2494.8117378  -1794.67114762],[-133.99861361  -93.52182508   78.7458687 ],[-2.75055498  0.74607473 -2.92815524],[-0.59432312  0.19460963 -0.67526953],[-0.30414618 -0.01593676 -0.12096264],0.09202730561091849,31.109691600133154
[ 3085423.64888441 -6283323.59961308  2432686.07333947],[ 6592.6376003   2555.20684969 -1814.95821018],[ 3085278.75224171 -6283197.60095215  2432680.03559618],[ 6591.34550118  2556.42801266 -1820.59668987],[-169.14080153  -85.65989128   30.99881048],[-3.50867005  0.82085718 -4.77487069],[-0.13228951 -0.14021791 -0.16999007],[-0.30405221 -0.00586676 -0.11867448],0.1583593590419464,29.109691600133154
[ 3151197.76301978 -6257464.07401381  2414417.29825221],[ 6562.07738061  2616.65686824 -1838.76722114],[ 3151036.75399143 -6257317.67328412  2414346.7376628 ],[ 6560.46566384  2618.69887491 -1845.22022817],[-215.07781383  -75.02032944  -21.19815587],[-4.58600291  1.10921384 -5.2196194 ],[-0.72224618 -0.06687742 -0.35260563],[-0.05812628 -0.0107705   0.04231507],0.19898793803494505,27.913538507876453
[ 3216663.04426592 -6230991.30007658  2395911.32446912],[ 6530.8714935   2677.85553974 -1862.39756798],[ 3216491.98163463 -6230820.20947461  2395774.76960562],[ 6529.86539098  2680.32678284 -1868.99761304],[-262.26845196  -56.11921033  -72.43991986],[-4.70390933  1.93654518 -5.12385486],[-0.34437073 -0.21319032 -0.55506936],[ 0.18378145  0.19640125 -0.11879587],0.20867642078095333,27.1584076531309
[ 3281813.05017723 -6203907.82056434  2377169.95004715],[ 6499.02279441  2738.79700911 -1885.84697008],[ 3281635.09173317 -6203701.18796739  2376968.92367611],[ 6498.33214234  2742.35393432 -1892.29465633],[-316.30168662  -29.82661574 -117.64971664],[-5.38162388  2.68237873 -4.52044095],[-0.35458418  0.31671004  0.84471556],[-0.0699662  -0.00713823 -0.11692083],0.2130670633867023,26.021930334234035
[ 3346641.36715376 -6176216.23668754  2358194.99577309],[ 6466.53419698  2799.475442   -1909.11316212],[ 3346458.03014913 -6175980.86272756  2357939.9654305 ],[ 6465.99494821  2802.35271691 -1914.51402406],[-360.15223048   -6.4504479  -155.89290092],[-4.36695309  2.38068735 -3.82360013],[-0.06652177  0.35050462 -0.86055559],[-0.06606701 -0.21594314  0.04780202],0.17566677763163296,24.760223972382192
[ 3411141.61102224 -6147919.20789489  2338988.30500982],[ 6433.4086729   2859.88502521 -1932.19389424],[ 3410960.85132717 -6147641.12602339  2338670.64819865],[ 6433.66462536  2864.15936989 -1938.45693638],[-414.21610684   32.51864131 -195.64508454],[-5.37363249  3.94997068 -3.97432455],[-0.52639532 -0.21315419 -0.16845095],[ 0.18569088 -0.21362131 -0.11918022],0.21257410681953454,22.940296277736362
[ 3475307.42761551 -6119019.45165933  2319551.74354071],[ 6399.64925167  2920.01996715 -1955.08693224],[ 3475135.07179719 -6118698.83906195  2319173.3416499 ],[ 6400.48742626  2924.27698705 -1961.16175667],[-464.07362063   77.09279048 -233.19376698],[-4.94823697  4.50629247 -3.75381425],[-0.05080517 -0.72743711 -0.09601666],[-0.06180257 -0.00403079 -0.1226806 ],0.22258139189521745,22.32362014033651
[ 3539132.49335005 -6089519.74325952  2299887.19941212],[ 6365.25902048  2979.87449834 -1977.79005774],[ 3538972.92320324 -6089153.36117505  2299441.43494793],[ 6366.53490462  2984.45576901 -1984.52652898],[-515.71099324  129.57591574 -275.0575842 ],[-5.11917001  5.29889844 -4.18516037],[ 0.19340894 -0.45731902  0.1022902 ],[0.18458228 0.19744594 0.04308582],0.2400124558355794,21.467454152319654
[ 3602610.51580187 -6059422.91555674  2279996.58277412],[ 6330.24112401  3039.44287183 -2000.30106841],[ 3602457.27105021 -6059013.64610704  2279502.16478763],[ 6330.87053625  3043.73626131 -2005.16656258],[-561.38072046  171.17000193 -301.64067839],[-4.53385122  4.20412686 -2.65696854],[0.01910331 0.52415977 0.74040556],[0.17918388 0.19941883 0.04855946],0.1827716998273925,19.467454152319654
[ 3665735.23428041 -6028731.85876707  2259881.82571923],[ 6294.59876425  3098.71936367 -2022.61777812],[ 3665596.37531429 -6028293.14375636  2259350.71383247],[ 6296.03385157  3101.66876761 -2026.28723669],[-587.70200503  211.66629254 -321.92583499],[-2.60062965  4.07527035 -2.02709261],[ 0.29448604 -0.86522131  0.05734798],[ 0.11798187 -0.00656587  0.04236082],0.1338293247656381,17.486682515753788
[ 3728500.42040071 -5997449.52022909  2239544.8821194 ],[ 6258.33520029  3157.69827339 -2044.73801715],[ 3728383.88001995 -5996986.74238149  2238961.78434103],[ 6260.56322577  3160.10952245 -2049.93652583],[-609.54959318  261.46135375 -357.54058465],[-2.14444968  5.00069808 -3.55992833],[-0.1126506  -0.58601531  0.28458733],[0.12196607 0.19377671 0.04380112],0.17818945882272597,15.675759323161635
[ 3790899.87865363 -5965578.9041669   2218987.72746108],[ 6221.45374817  3216.37392444 -2066.65963235],[ 3790799.36690158 -5965097.38618323  2218337.27808756],[ 6223.05243638  3218.25304647 -2073.3944858 ],[-634.00516994  308.33719006 -409.8929008 ],[-2.40846022  4.71133524 -5.2334871 ],[1.19585652e-01 1.03944902e-04 3.06774949e-01],[ 0.12156754 -0.00584324 -0.11673047],0.2057337310129141,13.931675572568897
[ 3852927.44697411 -5933123.07144853  2198212.35867846],[ 6183.95778065  3274.74066466 -2088.38048735],[ 3852849.87233225 -5932611.18381688  2197501.99498414],[ 6186.24693736  3277.78287927 -2094.37139638],[-661.10718307  364.64364837 -450.15070022],[-2.66418101  5.65694476 -4.02384715],[ 0.53377545 -0.05344414 -0.00066825],[ 0.06287588 -0.20780455  0.04345209],0.20783276136070247,12.39226300312533
[ 3914576.99730757 -5900085.13933976  2177220.79398486],[ 6145.85072702  3332.79286673 -2109.89846273],[ 3914527.57080786 -5899526.49508467  2176456.99461901],[ 6148.66052813  3337.47391133 -2115.24134589],[-695.5514608   431.4719239  -477.44737737],[-3.38847661  6.71630849 -2.72761454],[ 0.19304494 -0.37613993 -0.17231627],[-0.17992329 -0.00331608  0.15164984],0.2195575875402347,10.56185138751523
[ 3975842.43617423 -5866468.28125326  2156015.07270226],[ 6107.13607291  3390.52492867 -2131.21145621],[ 3975811.75266109 -5865852.09336829  2155183.72908402],[ 6109.00480899  3396.28489584 -2137.96505567],[-746.43576464  500.20309607 -514.19034521],[-5.03121087  6.92278833 -3.67211976],[ 0.01465394 -0.07336524 -0.09780934],[ 0.06328369  0.1980323  -0.01034557],0.24800595699653755,8.56185138751523
[ 4036717.70523146 -5832275.72649321  2134597.25508898],[ 6067.81736008  3447.93127425 -2152.31738282],[ 4036724.81968652 -5831600.87320826  2133692.77366181],[ 6071.59099219  3453.80360527 -2159.63014793],[-788.13754493  588.01458476 -553.75290712],[-4.09482744  8.82168847 -3.95393087],[0.74676197 0.53610927 0.12485235],[0.30844677 0.19695439 0.14964049],0.27190600073564697,6.56185138751523
[ 4097196.781834   -5797510.75999515  2112969.42216558],[ 6027.89818623  3505.00635348 -2173.21417512],[ 4097242.20379878 -5796776.67026563  2111976.97988495],[ 6031.72213711  3510.9359507  -2182.00898733],[-832.56901852  681.77806989 -606.54765604],[-4.36255006  9.41954154 -5.2769644 ],[-0.28969253  0.16072203  0.15223765],[ 0.06073401 -0.00927517  0.15383303],0.29781655193340295,5.075290934895508
[ 4157273.67959213 -5762176.72206133  2091133.6755388 ],[ 5987.38220473  3561.7446431  -2193.89978335],[ 4157352.24244881 -5761398.02920716  2090053.23180027],[ 5990.68891351  3566.2110419  -2202.69834513],[-866.74973819  765.14325186 -665.72821121],[-3.34830489  8.36961015 -5.91531968],[0.17242516 0.09086587 0.17327157],[ 0.06370492 -0.20860392 -0.01193718],0.2820860670339424,3.5166625382270498
[ 4216942.44892771 -5726277.00809135  2069092.13722382],[ 5946.27312447  3618.14064699 -2214.37217561],[ 4217050.68270206 -5725458.67591414  2067925.93234367],[ 5949.23231783  3622.11076338 -2222.94637308],[-896.87471692  843.29043471 -725.18474166],[-2.94834423  7.84379672 -5.94267254],[ 0.04163741 -0.61063464 -0.10870626],[-0.17985734 -0.20876588  0.15059511],0.28207826178977524,2.87049909506615
[ 4276197.17762802 -5689815.06830816  2046846.94946456],[ 5904.57470962  3674.18889666 -2234.62933808],[ 4276332.70599184 -5688964.2599095   2045602.99444414],[ 5907.29581432  3677.44275229 -2242.40210253],[-919.19315163  914.15319577 -780.43247377],[-2.175258    7.10764829 -5.52155684],[-0.773898   -0.41679231 -0.05492117],[ 0.06455674 -0.00805853  0.15012374],0.257389577890577,1.7680554265769717
[ 4335031.99139733 -5652794.40747944  2024400.27455223],[ 5862.29077938  3729.88395173 -2254.66927516],[ 4335180.41485882 -5651919.59614805  2023084.63196437],[ 5863.57155309  3732.29052553 -2261.83546639],[-940.50130825  967.77869116 -834.92604615],[-2.09154655  5.38295379 -5.44590872],[-0.38726959 -0.16051271  0.42187117],[ 0.06199477 -0.21389037 -0.01310067],-0.7788913050930677,-2.220446049250313e-16
[-6694079.38284341 -1208649.1389792  -1959890.39391094],[ 1425.53211735 -7364.18426048  -131.78036501],[-6694109.71981233 -1207976.08744871 -1959658.90365062],[ 1424.25918249 -7364.03569757  -131.19073987],[-150.31723674 -671.6173506   183.96004379],[ 0.30337367 -0.23145386  0.89831365],[0.93580975 0.12125073 0.28036576],[1.53344448e-05 9.10360644e-05 4.81315475e-06],-0.15113963971342778,49.03406269666886
[-6679447.9299286  -1282221.64395739 -1961097.68124276],[ 1500.73391911 -7350.17830527  -109.67397411],[-6679482.93860864 -1281543.5897806  -1960848.71244742],[ 1500.2694249  -7349.68137599  -107.92675864],[-158.7668003  -676.08605549  201.66626906],[-0.85235052 -0.43800825  1.76902267],[ 0.46997959 -0.08997183 -0.03564911],[-0.26177845 -0.16712097  0.04753961],-0.041978604953195206,47.580097292456166
[-6664065.20952775 -1355649.93850562 -1962083.8149767 ],[ 1575.7842022  -7335.34237957   -87.55005741],[-6664107.66525775 -1354968.73180286 -1961818.79971436],[ 1575.0423062  -7335.03043695   -85.94611201],[-163.96454116 -679.18286344  218.8707779 ],[-0.52583441 -0.30428198  1.71874865],[-0.53583477 -0.40383686 -0.38909654],[-0.24774736 -0.14062988  0.01501589],-0.04781949442794582,47.21674931506904
[-6647932.77918318 -1428925.72922677 -1962848.63222102],[ 1650.67449706 -7319.67776044   -65.41108886],[-6647974.82927472 -1428253.98364764 -1962568.04888738],[ 1650.7180108  -7320.62709725   -63.85503189],[-173.94391868 -668.2423482   234.37793759],[-0.98924144  1.10445567  1.54891972],[ 0.63675423 -0.18384141  0.20076301],[-0.22500102 -0.16177279  0.03117183],-0.03069325479356004,45.73878770417102
[-6631052.28108437 -1502040.73595936 -1963391.99484419],[ 1725.39634396 -7303.18581796   -43.25954651],[-6631079.59597445 -1501380.58667623 -1963099.45832662],[ 1726.87303463 -7304.34851863   -42.06496843],[-195.68132165 -651.86065556  242.70825992],[-2.15952969  1.6610122   0.83118281],[ 0.03352897 -0.23446438 -0.52164366],[-0.15423724 -0.12657823 -0.04711695],0.02131488328615176,44.25264818674948
[-6613425.44196494 -1574986.69270787 -1963713.78951463],[ 1799.94129397 -7285.86801524   -21.09791227],[-6613439.0924292  -1574331.04507348 -1963427.95586953],[ 1801.31111265 -7286.32111215   -21.7688502 ],[-212.49148573 -642.15285445  232.91223314],[-1.67421061  0.98842218 -0.98141941],[-0.56879328 -0.36454586 -0.34975394],[ 0.06601295 -0.14049209  0.0718404 ],-0.03357751999958607,42.25264818674948
[-6595054.07299032 -1647755.34857349 -1963813.92773784],[ 1.87430091e+03 -7.26772591e+03  1.07132840e+00],[-6595050.98480662 -1647117.68500096 -1963549.32588003],[ 1.87597827e+03 -7.26952708e+03 -1.05234338e+00],[-224.81101297 -618.30975686  209.2643419 ],[-1.2104025   2.3971473  -2.36649193],[ 0.62631923  0.26315989 -0.01973408],[-0.14220981 -0.20584135  0.08397135],0.05919477802878094,40.25264818674948
[-6575940.06963592 -1720338.46868503 -1963692.34589097],[ 1948.46676693 -7248.76114706    23.24568669],[-6575933.15650765 -1719728.60217441 -1963460.65470117],[ 1948.85270787 -7251.5434438     19.9542917 ],[-219.01917844 -588.06267976  178.54591482],[ 0.60746057  3.0183277  -3.07336841],[-0.02648894 -0.37807804 -0.29085684],[-0.07231602 -0.23291475 -0.01441594],0.09677847827940696,38.25264818674948
[-6556085.41155596 -1792727.83513001 -1963349.00525464],[ 2022.43045428 -7228.97547335    45.42267074],[-6556065.57297944 -1792139.15163995 -1963155.88244488],[ 2023.72637182 -7231.09619873    41.56570899],[-221.15257975 -562.02567856  139.48804017],[-0.18948453  2.60576583 -3.90708645],[0.37398679 0.25150816 0.76895539],[-0.11480364 -0.02149251  0.02974603],0.1192991320292835,36.99587315744902
[-6535492.1624427  -1864915.24788576 -1962783.89204222],[ 2096.18357544 -7208.3707229     67.59978591],[-6535464.06265702 -1864362.62102287 -1962639.72982522],[ 2097.01291568 -7211.97862109    62.70383307],[-211.64593804 -523.0451923    92.72818387],[ 0.98831275  3.88774244 -4.67701621],[-0.74751784  0.01845731 -0.59124056],[-0.06203804 -0.05149288  0.00998462],0.16633970102529674,35.1245628137577
[-6514162.46987624 -1936892.52575055 -1961997.01742632],[ 2169.71774944 -7186.94882435    89.77453505],[-6514130.86311577 -1936380.04318984 -1961883.51031699],[ 2170.07146627 -7190.96528225    86.70928937],[-200.91936209 -481.57317255   65.11463448],[ 1.11312985  4.13562338 -2.76216488],[ 0.18663577 -0.12238569  0.25977634],[-0.32882492  0.12881691 -0.13163739],0.12792467294701543,33.18927855049749
[-6492098.56516469 -2008651.50727444 -1960988.41756259],[ 2243.0246118  -7164.71179942   111.94441874],[-6492062.4201123  -2008182.82646023 -1960896.36310423],[ 2243.48127659 -7169.09377287   109.79951144],[-191.79825698 -436.47491677   46.31705278],[ 0.95661118  4.49995473 -1.88041466],[0.75163969 0.09878543 0.64940741],[-0.32037696 -0.05495997 -0.1460811 ],0.1323434452155611,32.1962365168905
[-6469302.76317478 -2080184.05168996 -1959758.15361086],[ 2316.09581544 -7141.66176288   134.1069356 ],[-6469269.42579792 -2079773.48240798 -1959675.65196555],[ 2315.81764627 -7147.47445408   133.15201836],[-174.11373993 -380.01654552   41.9150114 ],[ 1.82524235  5.62684252 -0.44077521],[ 0.05944542 -0.16921617  0.09038287],[-0.31512373 -0.06847027 -0.15576178],0.15707469360390547,30.1962365168905
[-6445777.46215288 -2151482.03984234 -1958306.31175344],[ 2388.92303167 -7117.8009225    156.25958257],[-6445734.3050172  -2151137.76173892 -1958220.11269408],[ 2389.9074109 -7124.4312401   156.6296447],[-167.94528098 -312.03625751   47.4129232 ],[0.68609672 6.79121722 0.54924983],[-0.28982406 -0.39857736 -0.75279688],[-0.12115089 -0.02955355 -0.14096738],0.18556541670878673,28.1962365168905
[-6421525.14353627 -2222537.37511929 -1956633.00321068],[ 2461.49795115 -7093.13157899   178.39985515],[-6421472.0718387  -2222254.49764925 -1956532.06738362],[ 2462.49168456 -7099.27247873   179.87377087],[-165.03219803 -248.59709419   63.15194134],[0.35583223 6.34057283 1.57334185],[0.12336272 0.11074149 0.80943354],[-0.1513181  -0.06393426  0.03524261],0.18443690487383133,26.98847965327155
[-6396548.37175486 -2293341.98438015 -1954738.36425378],[ 2533.81228487 -7067.65612595   200.52524772],[-6396478.67950314 -2293114.19887185 -1954637.65448364],[ 2535.47650966 -7073.16581396   200.50284808],[-164.7678817  -189.36445403   62.27643416],[ 0.08653178  5.92273685 -0.08808927],[ 0.41146296 -0.77178829  0.09328063],[-0.38847623 -0.0829627  -0.0270482 ],0.15897812591622684,25.232427632764516
[-6370849.79402309 -2363887.81888437 -1952622.55621469],[ 2605.85776509 -7041.37704979   222.63325379],[-6370770.89454261 -2363716.22888419 -1952528.61455534],[ 2606.78047517 -7046.99678883   221.95664116],[-154.40881654 -131.83774957   57.1840599 ],[ 1.09428896  5.74142544 -0.50971056],[-0.29056063  0.32838285 -0.33133712],[-0.39676851  0.13407703  0.16882448],0.1646800848830119,24.23423441762146
[-6344432.14012217 -2434166.85521907 -1950285.76549327],[ 2677.62614636 -7014.29692961   244.72136631],[-6344332.00438468 -2434057.90043891 -1950211.19183071],[ 2679.75153468 -7020.5603165    242.78481378],[-147.94956576  -64.70564709   37.19739794],[ 0.71467329  6.70607336 -1.99901106],[ 0.11503799 -0.53337364 -0.30850558],[-0.14404655  0.15411919  0.16783358],0.19218842387527899,22.37926859792812
[-6317298.22217253 -2504171.0962257  -1947728.20356155],[ 2749.10920646 -6986.41843717   266.78707795],[-6317187.07253038 -2504127.03691679 -1947679.1171493 ],[ 2750.21203898 -6992.90755201   264.23866087],[-128.46034461    0.49639805   14.23499104],[ 2.0158435   6.49924055 -2.29641074],[-0.03514727  0.02429425  0.14646828],[0.12058921 0.09243841 0.17267472],0.20281325610459497,21.163459582084116
[-6289450.93439651 -2573892.57192561 -1944950.10696514],[ 2820.29874737 -6957.74433667   288.82788137],[-6289327.13879563 -2573932.68926393 -1944921.47711259],[ 2821.56435849 -6966.16124904   286.78254932],[-103.41983371   83.96276384   -3.00206122],[ 2.59077278  8.31971467 -1.72371803],[ 0.12196118 -0.05311638  0.53612463],[-0.11950207 -0.12851485  0.08495616],0.23734813119275938,19.163459582084116
[-6260893.25287132 -2643323.3404444  -1941951.73732174],[ 2891.18659631 -6928.27748473   310.84126955],[-6260766.38480204 -2643464.08476046 -1941940.32212584],[ 2891.49428395 -6938.33909622   309.12006523],[-62.88062538 178.60799428 -13.41594317],[ 4.15308782  9.42108818 -1.04126669],[-0.05244288 -0.46361832  0.18462039],[-0.12191079  0.09029576 -0.08922783],0.2685875275579742,17.230524655634973
[-6231628.23527206 -2712455.48893498 -1938733.38131676],[ 2961.76460665 -6898.02083018   332.82473601],[-6231488.72174011 -2712694.19162218 -1938741.01438705],[ 2963.02899742 -6907.81524115   330.92010685],[-29.30712554 273.56644368 -28.35058235],[ 3.45750867  9.45981039 -1.49319555],[ 0.14319282 -0.09563016 -0.14655766],[ 0.10423178  0.0982617  -0.08371244],0.2747648725683605,16.220948513386702
[-6201659.02060509 -2781281.13449914 -1935295.35069598],[ 3032.02465892 -6866.97741393   354.7757752 ],[-6201517.75370789 -2781634.47327489 -1935323.56422872],[ 3032.19912189 -6878.43927742   352.71782543],[ 22.81710933 378.71526168 -40.67874399],[ 5.3241514  10.45908305 -1.23240218],[ 0.08147172  0.09369847 -0.44477548],[-0.15297778 -0.11779163 -0.08166394],0.29424349720626586,14.220948513386702
[-6170988.82893148 -2849792.42510755 -1931637.98225536],[ 3101.95866182 -6835.15036881   376.69188269],[-6170846.01793425 -2850242.82138746 -1931682.91831248],[ 3102.11147191 -6844.85412067   375.01960353],[ 69.2081985  466.83516877 -50.4597818 ],[ 4.73359443  8.76234705 -0.97755123],[-0.30841984 -0.12735895 -0.22691647],[ 0.11182096 -0.11886562  0.09538942],0.26345967985960383,12.424762241247251
[-6139620.96108067 -2917981.5405181  -1927761.6378278 ],[ 3171.55855315 -6802.54291941   398.57055557],[-6139489.19954339 -2918527.89226496 -1927821.88396721],[ 3170.45124624 -6812.13630966   397.03935742],[127.57450395 547.83849387 -55.57573119],[ 5.92444669  8.03797052 -0.51093931],[ 0.10144129 -0.13559063  0.00038069],[ 0.11484351  0.09782694 -0.08349583],0.268747359525939,11.156720410072483
[-6107558.79835427 -2985840.69319233 -1923666.70426703],[ 3240.81630082 -6769.15838186   420.40929264],[-6107441.61563583 -2986479.95646912 -1923731.33708532],[ 3239.35527846 -6778.44728244   419.97020856],[186.45718074 623.98249339 -49.46003895],[5.97192997 7.55149298 0.61227103],[0.09616702 0.15212259 0.10420496],[-0.1277416   0.05799959  0.07529343],0.26256730657426713,9.97128845922789
